email,valid,result,reason,is_role,is_disposable,is_free,did_you_mean
devon.herman58@gmail.com,True,neutral,,False,False,True,
jadyn81@gmail.com,True,neutral,,False,False,True,
sherman.goldner@yahoo.com,True,neutral,,False,False,True,
maurine83@yahoo.com,True,neutral,,False,False,True,
nicholas_bechtelar40@gmail.com,True,neutral,,False,False,True,
christophe86@yahoo.com,True,neutral,,False,False,True,
katheryn.mckenzie@gmail.com,True,neutral,,False,False,True,
moises.dickens@yahoo.com,True,neutral,,False,False,True,
fanny.buckridge@yahoo.com,True,neutral,,False,False,True,
ulises_rohan@gmail.com,True,neutral,,False,False,True,
isabel_dietrich25@hotmail.com,True,neutral,,False,False,True,
vladimir_mills6@hotmail.com,True,neutral,,False,False,True,
renee.quigley@hotmail.com,True,neutral,,False,False,True,
colleen.waelchi@yahoo.com,True,neutral,,False,False,True,
jovan_jones49@hotmail.com,True,neutral,,False,False,True,
davin.bradtke9@yahoo.com,True,neutral,,False,False,True,
giovanna_walker6@yahoo.com,True,neutral,,False,False,True,
zakary_murphy40@hotmail.com,True,neutral,,False,False,True,
ronaldo_bauch26@gmail.com,True,neutral,,False,False,True,
clovis.sipes@hotmail.com,True,neutral,,False,False,True,
dillan.veum@gmail.com,True,neutral,,False,False,True,
sasha_boehm@yahoo.com,True,neutral,,False,False,True,
lora.zemlak@gmail.com,True,neutral,,False,False,True,
ansley.balistreri@gmail.com,True,neutral,,False,False,True,
jewel_macejkovic@gmail.com,True,neutral,,False,False,True,
bernhard.ward65@hotmail.com,True,neutral,,False,False,True,
jadyn0@hotmail.com,True,neutral,,False,False,True,
london.bosco@hotmail.com,True,neutral,,False,False,True,
edward_ritchie11@hotmail.com,True,neutral,,False,False,True,
julia24@hotmail.com,True,risky,,False,False,True,
alana_lehner@hotmail.com,True,neutral,,False,False,True,
wilma.runolfsdottir12@yahoo.com,True,neutral,,False,False,True,
jamie_vandervort@hotmail.com,True,neutral,,False,False,True,
cielo79@yahoo.com,True,neutral,,False,False,True,
allen.hackett@hotmail.com,True,neutral,,False,False,True,
clovis_kub45@hotmail.com,True,neutral,,False,False,True,
dortha_beahan71@gmail.com,True,neutral,,False,False,True,
miracle65@gmail.com,True,risky,,False,False,True,
christelle34@hotmail.com,True,neutral,,False,False,True,
conrad1@yahoo.com,True,risky,,False,False,True,
jovany_rohan91@yahoo.com,True,neutral,,False,False,True,
willie.casper5@gmail.com,True,neutral,,False,False,True,
angelo_satterfield@gmail.com,True,neutral,,False,False,True,
kari_corkery17@gmail.com,True,neutral,,False,False,True,
nestor86@hotmail.com,True,risky,,False,False,True,
ezra17@yahoo.com,True,neutral,,False,False,True,
avery_wiegand@gmail.com,True,neutral,,False,False,True,
horacio.morissette@yahoo.com,True,neutral,,False,False,True,
johnson.gerhold@yahoo.com,True,neutral,,False,False,True,
reta_hilll@gmail.com,True,neutral,,False,False,True,
kara60@yahoo.com,True,neutral,,False,False,True,
theo87@hotmail.com,True,neutral,,False,False,True,
tito79@hotmail.com,True,valid,,False,False,True,
aric77@gmail.com,True,valid,,False,False,True,
jennyfer49@hotmail.com,True,neutral,,False,False,True,
annabel59@hotmail.com,True,neutral,,False,False,True,
freida.kertzmann73@yahoo.com,True,neutral,,False,False,True,
osborne.hirthe0@hotmail.com,True,neutral,,False,False,True,
ross.hartmann@gmail.com,True,neutral,,False,False,True,
maynard_wunsch10@yahoo.com,True,neutral,,False,False,True,
crystal_morar22@yahoo.com,True,neutral,,False,False,True,
watson.doyle62@hotmail.com,True,neutral,,False,False,True,
charlie50@gmail.com,True,risky,,False,False,True,
erich88@gmail.com,True,neutral,,False,False,True,
beulah.donnelly72@yahoo.com,True,neutral,,False,False,True,
kareem_anderson88@yahoo.com,True,neutral,,False,False,True,
natalie_barrows62@hotmail.com,True,neutral,,False,False,True,
johnnie_pacocha@gmail.com,True,neutral,,False,False,True,
reva.marvin@hotmail.com,True,neutral,,False,False,True,
laverne54@hotmail.com,True,neutral,,False,False,True,
guillermo_rau@yahoo.com,True,neutral,,False,False,True,
vida_friesen35@hotmail.com,True,neutral,,False,False,True,
graciela_klocko@hotmail.com,True,neutral,,False,False,True,
calista_hagenes@yahoo.com,True,neutral,,False,False,True,
freeda.hermann64@yahoo.com,True,neutral,,False,False,True,
celia_braun88@yahoo.com,True,neutral,,False,False,True,
sanford86@gmail.com,True,neutral,,False,False,True,
jon.langworth75@gmail.com,True,neutral,,False,False,True,
afton_thiel@gmail.com,True,neutral,,False,False,True,
braden.shields@gmail.com,True,neutral,,False,False,True,
wyatt71@gmail.com,True,neutral,,False,False,True,
walton_hagenes77@gmail.com,True,neutral,,False,False,True,
bella_schimmel@yahoo.com,True,neutral,,False,False,True,
chanelle.powlowski48@yahoo.com,True,neutral,,False,False,True,
nicola.lesch19@yahoo.com,True,neutral,,False,False,True,
sylvan_dare@hotmail.com,True,neutral,,False,False,True,
jake.torp@gmail.com,True,neutral,,False,False,True,
flavie_bauch@yahoo.com,True,neutral,,False,False,True,
abigale48@gmail.com,True,neutral,,False,False,True,
alize55@yahoo.com,True,neutral,,False,False,True,
jayme_jast@hotmail.com,True,neutral,,False,False,True,
marquise_kiehn53@gmail.com,True,neutral,,False,False,True,
murray.farrell33@yahoo.com,True,neutral,,False,False,True,
abe_kunze@gmail.com,True,neutral,,False,False,True,
velma7@hotmail.com,True,valid,,False,False,True,
edmond_white13@yahoo.com,True,neutral,,False,False,True,
naomi.cummings@gmail.com,True,neutral,,False,False,True,
johathan46@gmail.com,True,neutral,,False,False,True,
chauncey_hettinger@yahoo.com,True,neutral,,False,False,True,
jazmyn61@hotmail.com,True,risky,,False,False,True,
claudie18@gmail.com,True,neutral,,False,False,True,
grady_turner88@yahoo.com,True,neutral,,False,False,True,
tressie_jones1@gmail.com,True,neutral,,False,False,True,
delphine7@yahoo.com,True,risky,,False,False,True,
maxie_ledner@gmail.com,True,neutral,,False,False,True,
kiana67@gmail.com,True,neutral,,False,False,True,
dahlia72@gmail.com,True,neutral,,False,False,True,
